31.19.53.114,DE,        KABEL-DEUTSCHLAND-CUSTOMER-SERVICES-25,  +31205354444,  abuse@ripe.net
194.61.233.41,UA,        UA-VIKHOST-20210125,  +31205354444,  abuse@ripe.net
59.102.186.33,TW,        TBCOM-NET,  +61 7 3858 3188,  search-apnic-not-arin@apnic.net
45.83.220.191,AU,        IANA-NETBLOCK-45,  +31205354444,  abuse@ripe.net
116.48.6.22,HK,        NETVIGATOR,  +61 7 3858 3188,  search-apnic-not-arin@apnic.net
45.135.167.90,AU,        IANA-NETBLOCK-45,  +31205354444,  abuse@ripe.net
194.61.233.62,UA,        UA-VIKHOST-20210125,  +31205354444,  abuse@ripe.net
220.129.139.182,TW,        HINET-NET,  +61 7 3858 3188,  search-apnic-not-arin@apnic.net
93.78.227.241,UA,        VOLIA-POLTAVA,  +31205354444,  abuse@ripe.net
45.82.153.143,AU,        IANA-NETBLOCK-45,  +31205354444,  abuse@ripe.net
156.96.47.35,AU,        ERX-NETBLOCK,  +1-818-908-5829,  keith@fastlink.net
194.61.233.64,UA,        UA-VIKHOST-20210125,  +31205354444,  abuse@ripe.net
194.61.233.78,UA,        UA-VIKHOST-20210125,  +31205354444,  abuse@ripe.net
45.135.167.61,AU,        IANA-NETBLOCK-45,  +31205354444,  abuse@ripe.net
201.219.103.184,AR,        NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,  +598-2604-2222,  abuse@lacnic.net
190.206.191.41,VE,        NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,  +598-2604-2222,  abuse@lacnic.net
125.165.106.195,ID,        TLKM_D1_BB_SPEEDY_BTM,  +61 7 3858 3188,  search-apnic-not-arin@apnic.net
156.196.39.62,AU,        ERX-NETBLOCK,  +230 4666616,  abusepoc@afrinic.net
179.80.191.221,BR,        NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,  +598-2604-2222,  abuse@lacnic.net
134.255.148.151,AU,        ERX-NETBLOCK,  +31205354444,  abuse@ripe.net
92.223.103.162,LU,        LU-GCORELABS-20071017,  +31205354444,  abuse@ripe.net
185.232.52.58,NL,        SC-INTERNET-INC6-20171115,  +31205354444,  abuse@ripe.net
1.171.52.214,TW,        HINET-NET,  +61 7 3858 3188,  search-apnic-not-arin@apnic.net
